x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15
-0.65917749,-0.221483729,-1.335851087,0.416045458,0.230590965,-0.378831287,-0.127011468,-1.101305529,-1.207986508,-0.549228634,0.655088569,-0.213606893,0.40619535,0.291460626,-0.055492771
0.208028894,1.058818562,1.374977239,-0.1537715,-0.180845441,-0.595374894,-0.535244396,-0.720986974,0.965849996,0.62104502,-0.959947555,-1.52159612,1.112780311,-0.565599487,-0.734384192
-0.329318524,-0.61918212,0.714595877,0.870649839,-0.689445176,0.735293588,-0.243568064,-0.104521846,0.116303996,-0.051880402,1.348389935,-0.355703642,-0.221106338,0.925133628,-0.503079629
1.092195779,0.906107361,0.775371034,1.616143142,0.938538668,0.854758031,0.807483584,-0.318063892,0.578333242,-0.057927995,-0.465423722,-0.128794982,1.792955654,-1.479556229,1.427853137
1.229871955,0.844763137,-0.234800143,0.229540922,0.030031431,-0.496341944,-0.090483257,-1.857792253,0.989298242,-0.187942522,-1.146200142,-0.683863106,-1.543346606,-0.934942865,-1.186850544
1.02395364,0.764776051,1.680698123,1.075442714,1.603468022,0.75301251,1.550433984,0.401920474,1.220532151,1.459210144,-0.123630275,-1.205723271,0.462581154,0.669117601,-0.010661651
-0.138424648,-0.533094178,0.004804332,-0.201149594,-0.345543076,-0.76426333,-0.205721775,-1.053722864,-1.160555874,-1.037349893,0.165974356,0.72561447,0.86607034,0.024647001,1.644225786
-1.238659596,-1.176217629,-0.405963585,-0.677677949,-1.819002874,-0.244089073,0.427984412,0.398946255,0.085123541,0.51248385,-2.120829269,-1.926518533,-1.400709587,-0.403215928,-1.071001419
-1.462799637,-0.584505816,-0.261723387,-1.432595376,-0.360981344,1.435846362,0.592215201,0.652886702,1.793267859,1.161931718,-0.464746902,-1.003536624,-0.258739355,-0.266533478,-1.113858355
0.705804709,1.025456681,-0.185550766,-0.076312924,-0.108423546,1.832788436,0.461139278,0.628332469,-0.719379675,0.81367869,-0.782022783,0.571976208,0.606883836,0.522012173,-0.519580099
-2.600017379,-1.047826617,0.356179108,-1.226140828,-1.427889498,0.573752648,0.769668532,-0.641524512,0.147169136,-0.949670148,-1.771250889,-0.493356729,-1.155922347,-1.273406722,-0.956548264
1.527196638,1.555846616,1.244905862,0.757205375,0.28697563,0.714126537,0.514931372,-0.758287049,0.848101671,0.585521734,1.037997319,0.632529458,0.130470542,0.416266861,1.596618629
-0.381970249,1.474895404,1.108921049,-0.149668057,-0.511451486,-1.813982734,0.817310778,-1.710254403,-2.413176682,-1.986099986,-0.660393601,0.681138876,0.300436169,-0.311522396,-0.748840343
-1.053889025,-1.357921487,-1.13120614,-1.093146222,-0.358696711,-0.90088546,-0.673987893,-0.681467513,-0.497539636,-1.263564938,0.571260234,-0.823706088,-0.550467433,0.036780545,-0.027209626
-0.41282483,1.247945894,-0.096046749,0.262269563,-1.003483469,-0.996463672,0.112579173,-0.115826281,0.02133226,1.097273164,-1.061126488,0.516316995,0.395552149,0.188407617,1.337462391
-0.080424939,-0.376000781,-0.927532079,-0.388932897,-1.416190142,-1.138364592,-2.100618869,0.622815795,-1.558217588,-1.162570309,0.024878448,-0.220606869,-0.743336838,-0.480179329,0.773884102
-0.525289713,-1.042832716,-0.759680398,-1.073503288,-0.439611763,0.203328375,0.091479748,0.003674518,0.886381052,0.624443052,-1.689311,-0.35528315,-0.398381783,-0.108863001,-0.440845807
-0.054991432,-0.748273179,-0.333456949,0.321438302,-0.366597869,0.342190326,0.300998014,0.012761266,0.275655968,0.814330395,0.19388291,-0.688942869,-0.827726857,0.547764156,-0.086886759
0.240036345,0.651307275,-0.152459324,1.32603348,0.0765043,-0.659419835,0.872150611,-0.315317782,0.244018014,-0.67800716,-1.113149338,-0.003221704,-1.123137678,-0.62148651,0.93583636
-1.162800815,-0.57802271,-0.63924946,-1.519890637,-0.984919024,-0.580055198,-0.579099609,-0.884956068,-0.52764885,-0.769361684,-1.457610402,0.517756217,-0.894178521,-0.625580957,-1.006584776
-1.778488736,-0.80465456,-1.10131634,-0.978451023,-1.420995433,-0.247287832,-0.705080348,-1.402263093,-0.338013059,-0.39964288,-1.062671694,-0.512581087,-1.549804883,-1.32905227,-1.965872819
